from,to,weight
JFK,LAX,1145
LAX,JFK,1145
SFO,LAX,1135
LAX,SFO,1116
LGA,ORD,908
ORD,LGA,898
LAS,LAX,882
LAX,LAS,856
LGA,ATL,815
ATL,LGA,814
SFO,JFK,806
JFK,SFO,805
MCO,ATL,785
ATL,MCO,783
LAX,ORD,759
LAX,SEA,752
SEA,LAX,750
ORD,LAX,749
SFO,LAS,740
LGA,BOS,736
BOS,LGA,735
BOS,DCA,725
DCA,BOS,724
DFW,ORD,724
SFO,ORD,722
ORD,DFW,709
LAS,SFO,707
ATL,FLL,701
FLL,ATL,701
ORD,SFO,698
DEN,PHX,688
SJC,LAX,683
LAX,SJC,681
PHX,DEN,680
SFO,SEA,674
SAN,SFO,671
ATL,TPA,668
TPA,ATL,665
SEA,SFO,664
SFO,SAN,663
BOS,ORD,658
ORD,BOS,653
ATL,DFW,649
DFW,ATL,649
DCA,ORD,648
ORD,DCA,643
ATL,PHL,634
LAS,DEN,634
PHL,ATL,634
ORD,MSP,633
DEN,LAS,627
PHX,LAX,627
LAX,PHX,621
DCA,ATL,619
ATL,DCA,615
MSP,ORD,610
LAX,SMF,608
SMF,LAX,608
ATL,CLT,595
CLT,ATL,595
ATL,ORD,594
ORD,ATL,591
LAX,DFW,584
LAX,OAK,584
OAK,LAX,582
DFW,LAX,576
LGA,MIA,574
MIA,LGA,574
HOU,DAL,566
DEN,DFW,565
SLC,DEN,565
ATL,LAX,563
LAX,ATL,563
DAL,HOU,561
LAX,DEN,561
DFW,DEN,560
MSY,ATL,557
DEN,LAX,552
ATL,MSY,551
BWI,ATL,539
DEN,SLC,539
ATL,BWI,537
ORD,DEN,533
DEN,MSP,527
SEA,PHX,526
PHX,SEA,524
MSP,DEN,523
PHX,SLC,508
LAS,PHX,507
LAX,SLC,507
SLC,LAX,507
SLC,PHX,507
ATL,JAX,505
DEN,SFO,503
PHX,LAS,501
JAX,ATL,500
DEN,ORD,498
JFK,MCO,492
MCO,JFK,491
DEN,ATL,490
ATL,MIA,489
MIA,ATL,489
ATL,DEN,486
FLL,LGA,484
LGA,FLL,484
PHL,BOS,484
BOS,PHL,483
MKE,ORD,481
ORD,MKE,481
