patent_id,claim_number,text,sequence,dependent,exemplary,subclass
10606734,6,"6. A computer-program product for intelligent mobile device selection for mobile application testing, the computer-program product comprising: a computer-readable storage medium readable by a processing circuit and storing instructions for execution by the processing circuit for performing a method comprising: determining features of a new mobile application to be tested; comparing, by a processor, the features of the new mobile application to be tested with features of multiple known mobile applications to identify one or more known mobile applications with similar features; based at least in part on automated analysis of user reviews of the one or more known mobile applications operating in one or more types of mobile devices, providing one or more risk scores for operation of the new mobile application in the one or more types of mobile devices, wherein providing the one or more risk scores comprises generating a respective risk score for operating the new mobile application in each type of mobile device of the one or more types of mobile devices, the respective risk scores being determined based, at least in part, on automated analysis of user reviews of the one or more known mobile applications with similar features operating on that type of mobile device; using, by the processor, at least in part, the one or more risk scores in deciding in which types of mobile devices to test the operation of the new mobile application.",5,,0,A
10606734,7,"7. The computer program product of claim 6 , wherein the one or more risk scores are each determined based on one or more factors selected from a group consisting of: a degree of feature similarity between the new mobile application and the known mobile application with similar features, a number of defect instances reported for the known mobile application on the type of mobile device, a sentiment of user reviews of the known mobile device application on the type of mobile device, and a number of like or dislike reviews of the known mobile application on the type of mobile device.",6,claim 6,0,A
10606734,8,"8. The computer program product of claim 6 , further comprising automatedly analyzing user reviews of the multiple known mobile device applications operating in the one or more types of mobile devices, and filtering the user reviews to identify any technical issue with a known mobile device application on a particular type of mobile device, the technical issue relating to using of the known mobile device application on that particular type of mobile device.",7,claim 6,0,A
10606734,9,"9. The computer program product of claim 8 , wherein the automatedly analyzing is based on semantic analysis of the user reviews of the multiple known mobile applications.",8,claim 8,0,A
10606734,10,"10. The computer program product of claim 6 , wherein the features of the new mobile application include features selected from the group consisting of operational requirements for the new mobile application and attributes of the new mobile application for a user.",9,claim 6,0,A
10606736,1,"1. A computer-implemented method for creation of a test plan for load testing a website or web application comprising: receiving a set of input parameters, which includes a specified time period range; retrieving, from a data storage repository, beacon data of real user sessions on the website or web application that fall within the specified time period range; identifying, from the beacon data, a set of peak traffic time periods, which includes a peak day, a peak hour, a peak minute, and a peak second; calculating user session statistics for the peak day, the user session statistics including median session duration, session length, and think times; generating a page group distribution table that includes a list of all page groups and page group hit percentages, relative to all other page groups, for the real user sessions during the peak hour; and generating a set of test scenario paths representative of the page group distribution table.",0,,1,A
10606736,2,"2. The computer-implemented method of claim 1 wherein the generating of the set of test scenario paths comprises: a) assigning weights to each page group in accordance with the page group hit percentage of the page group; b) creating a list of all the real user sessions during the peak hour having a session length greater than 1, for each real user session in the list determining: (i) an actual path, which is a sequence of page groups traversed by the real user; (ii) a page group list which includes distinct page groups in the actual path; (iii) a total page group weight, which is a sum of all the page group weights for the actual path; (iv) a session length deviation, which is an absolute value of a difference between a session length of the real user session and the median session length; (v) a session duration deviation, which is an absolute value of a difference between a session duration of the real user session and the median session duration; (vi) an exit-entry proportion, which is a proportion of all the real user sessions that have the same entry and exit pages; (vii) an exit-entry weight, which is a number of real user sessions that have the same entry and exit pages; (viii) an exit-entry max paths, which is calculated by multiplying the exit-entry proportion by a specified number that limits the maximum paths; (ix) a primary sort variable, which is a ratio of the session length deviation to the total page group weight; and (x) a secondary sort variable, which is a ratio of the session duration deviation to the exit-entry weight; c) sorting the list of all the real user sessions during the peak hour by the primary sort variable, and then by the secondary sort variable; d) assigning a representative rank to each session according to position in the sorted list; e) determining a number of critical page groups by sorting the list of all page groups in descending order according to the page group hit percentage of the page group, the number of critical page groups being equal to a number of page groups from the sorted list of all page groups where a cumulative page group hit percentage is less than or equal to a minimum specified page coverage; f) selecting a top n unconverted session paths from the sorted list of all the real user sessions, where n is a specified maximum number of abandonment paths, top n unconverted session paths comprising abandonment paths of the set of test scenario paths; and g) selecting a top n converted session paths from the sorted list of all the real user sessions, where n is a specified maximum number of abandonment paths, top n unconverted session paths comprising conversion paths of the set of test scenario paths.",1,claim 1,0,A
10606736,3,3. The computer-implemented method of claim 1 further comprising creating a master table that lists the set of load test scenarios and the think times that represents a distribution of paths taken by real users during the peak hour.,2,claim 1,0,A
10606736,4,4. The computer-implemented method of claim 2 wherein the selecting of the top n unconverted session paths further comprises only selecting unconverted sessions that meet a filtering criteria.,3,claim 2,0,A
10606736,5,"5. The computer-implemented method of claim 4 wherein the filtering criteria comprises a number of page groups in the page group list is greater than 1, and the representative rank is less than or equal to the exit-entry max paths.",4,claim 4,0,A
10606736,6,6. The computer-implemented method of claim 2 wherein the selecting of the top n converted session paths further comprises only selecting converted sessions that meet a filtering criteria.,5,claim 2,0,A
10606736,7,"7. The computer-implemented method of claim 6 wherein the filtering criteria comprises a number of page groups in the page group list is greater than 1, and the representative rank is less than or equal to the exit-entry max paths.",6,claim 6,0,A
10606736,8,8. The computer-implemented method of claim 1 where in the generating a set of test scenario paths comprises determining one or more bounce paths for inclusion in the set of test scenario paths.,7,claim 1,0,A
10606736,9,"9. The computer-implemented method of claim 8 wherein the determining of the one or more bounce paths comprises: generating a list of distinct landing pages for the real user sessions that have a session length equal to 1; determining a bounce path percentage for each distinct landing page in the list, the bounce path percentage being calculated as a percentage of sessions that bounced on the distinct landing page relative to other landing pages in the list; ranking the list of distinct landing pages according to the bounce path percentage, from highest to lowest; calculating a cumulative bounce path percentage, starting from a highest bounce path percentage, for each distinct landing page in the ranked list; and selecting as the one or more bounce paths for inclusion in the set of test scenario paths, those distinct landing pages where the cumulative bounce path percentage is less than or equal to a specified minimum bounce path coverage.",8,claim 8,0,A
10606737,1,"1. A method for testing a resource constrained device, the method comprising: determining, via a testing engine, a plurality of test cases for testing the resource constrained device; accessing, via the testing engine, a plurality of test scripts corresponding to the plurality of test cases; determining, via the testing engine, a set of mutually independent primitive executables for the plurality of test scripts corresponding to the plurality of test cases, by: determining a plurality of steps of the plurality of test scripts; and determining one or more primitive executables for each of the plurality of steps of the plurality of test scripts, wherein the one or more primitive executables for each of the plurality of steps of the plurality of test scripts correspond to one or more atomic operations of the resource constrained device; determining, via the testing engine, a candidate test case from the plurality of test cases, wherein the candidate test case from the plurality of test cases is determined based on: computing a test score for each of the plurality of test cases based on a plurality of script execution parameters for a corresponding test script, wherein each of the plurality of script execution parameters for the corresponding test script comprises at least one of an estimated time of execution, an estimated usage of one or more resources, and a coverage of one or more components of the resource constrained device; and selecting the candidate test case from the plurality of test cases based on the computed test score for each of the plurality of test cases; transmitting, via the testing engine, the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device for execution; and receiving, via the testing engine, a result corresponding to the execution of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases.",0,,1,A
10606737,2,"2. The method of claim 1 , further comprising: creating the one or more primitive executables for each of the plurality of steps of the plurality of test scripts; and determining a plurality of executable execution parameters for each of the plurality of one or more primitive executables for each of the plurality of steps of the plurality of test scripts.",1,claim 1,0,A
