place,alpha-2,region,sub-region,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
Budapest,HU,Europe,Eastern Europe,1364.0,152.41,1273.0,1.73,1.73,1.0,0.4,31.0,0.6,0.8,0.6,52.7,28.17,1.0,0.27,0.6,0.4,0.8,0.86,1.0,0.0
Chiang Mai,TH,Asia,South-eastern Asia,777.0,98.88,780.0,0.85,0.85,0.8,0.6,14.0,0.2,0.4,0.8,78.8,44.53,0.8,0.6,0.6,0.4,0.62,0.75,0.4,0.0
Phuket,TH,Asia,South-eastern Asia,1012.0,155.43,1714.0,1.41,1.41,0.8,0.4,14.0,0.2,0.4,0.8,78.8,44.53,0.6,0.8,0.6,0.42,0.6,0.75,0.82,0.0
Bangkok,TH,Asia,South-eastern Asia,1197.0,131.41,1158.0,2.12,2.12,1.0,1.0,24.0,0.2,0.4,0.77,78.8,44.53,0.8,0.8,1.0,0.42,0.82,0.72,1.0,0.0
Ko Samui,TH,Asia,South-eastern Asia,1352.0,169.56,1347.0,1.41,1.41,0.8,0.4,15.0,0.2,0.4,0.8,78.8,44.53,0.8,0.8,1.0,0.4,0.8,0.8,0.8,0.0
Ko Lanta,TH,Asia,South-eastern Asia,812.0,135.65,1016.0,1.41,1.41,0.4,0.2,15.0,0.2,0.4,0.8,78.8,44.53,1.0,0.8,0.8,0.4,0.62,0.73,0.43,0.0
Chiang Rai,TH,Asia,South-eastern Asia,1134.0,195.38,1119.0,1.41,1.41,0.6,0.6,12.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,1.0,0.6,0.8,0.76,0.8,0.0
Pattaya,TH,Asia,South-eastern Asia,1134.0,113.04,1100.0,2.12,2.12,0.4,0.6,9.0,0.2,0.4,0.56,78.8,44.53,0.2,1.0,1.0,0.4,0.8,0.66,0.8,0.0
Ao Nang,TH,Asia,South-eastern Asia,866.0,172.39,1483.0,1.84,1.84,0.4,0.4,0.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,0.8,0.4,0.6,0.7,0.4,0.0
Hua Hin,TH,Asia,South-eastern Asia,1232.0,172.39,2173.0,1.55,1.55,0.4,0.4,13.0,0.2,0.4,0.4,78.8,44.53,0.6,0.4,0.6,0.6,0.6,0.66,0.6,0.0
Ko Pha Ngan,TH,Asia,South-eastern Asia,777.0,110.21,1152.0,1.41,1.41,0.4,0.2,2.0,0.2,0.4,0.6,78.8,44.53,0.6,0.8,0.8,0.4,0.6,0.65,1.0,0.0
Ko Tao,TH,Asia,South-eastern Asia,1247.0,28.26,1092.0,1.41,1.41,0.2,0.4,2.0,0.2,0.4,0.6,78.8,44.53,1.0,0.8,0.8,0.4,0.6,0.67,0.4,0.0
Ko Phi Phi,TH,Asia,South-eastern Asia,1285.0,110.21,730.0,1.41,1.41,0.2,0.2,3.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,0.8,0.4,0.6,0.66,1.0,0.0
