alpha_2,region,sub_region
AF,Asia,Southern Asia
AX,Europe,Northern Europe
AL,Europe,Southern Europe
DZ,Africa,Northern Africa
AS,Oceania,Polynesia
AD,Europe,Southern Europe
AO,Africa,Sub-Saharan Africa
AI,Americas,Latin America and the Caribbean
AQ,,
AG,Americas,Latin America and the Caribbean
AR,Americas,Latin America and the Caribbean
AM,Asia,Western Asia
AW,Americas,Latin America and the Caribbean
AU,Oceania,Australia and New Zealand
AT,Europe,Western Europe
AZ,Asia,Western Asia
BS,Americas,Latin America and the Caribbean
BH,Asia,Western Asia
BD,Asia,Southern Asia
BB,Americas,Latin America and the Caribbean
BY,Europe,Eastern Europe
BE,Europe,Western Europe
BZ,Americas,Latin America and the Caribbean
BJ,Africa,Sub-Saharan Africa
BM,Americas,Northern America
BT,Asia,Southern Asia
BO,Americas,Latin America and the Caribbean
BQ,Americas,Latin America and the Caribbean
BA,Europe,Southern Europe
BW,Africa,Sub-Saharan Africa
BV,Americas,Latin America and the Caribbean
BR,Americas,Latin America and the Caribbean
IO,Africa,Sub-Saharan Africa
BN,Asia,South-eastern Asia
BG,Europe,Eastern Europe
BF,Africa,Sub-Saharan Africa
BI,Africa,Sub-Saharan Africa
CV,Africa,Sub-Saharan Africa
KH,Asia,South-eastern Asia
CM,Africa,Sub-Saharan Africa
CA,Americas,Northern America
KY,Americas,Latin America and the Caribbean
CF,Africa,Sub-Saharan Africa
TD,Africa,Sub-Saharan Africa
CL,Americas,Latin America and the Caribbean
CN,Asia,Eastern Asia
CX,Oceania,Australia and New Zealand
CC,Oceania,Australia and New Zealand
CO,Americas,Latin America and the Caribbean
KM,Africa,Sub-Saharan Africa
CG,Africa,Sub-Saharan Africa
CD,Africa,Sub-Saharan Africa
CK,Oceania,Polynesia
CR,Americas,Latin America and the Caribbean
CI,Africa,Sub-Saharan Africa
HR,Europe,Southern Europe
CU,Americas,Latin America and the Caribbean
CW,Americas,Latin America and the Caribbean
CY,Asia,Western Asia
CZ,Europe,Eastern Europe
DK,Europe,Northern Europe
DJ,Africa,Sub-Saharan Africa
DM,Americas,Latin America and the Caribbean
DO,Americas,Latin America and the Caribbean
EC,Americas,Latin America and the Caribbean
EG,Africa,Northern Africa
SV,Americas,Latin America and the Caribbean
GQ,Africa,Sub-Saharan Africa
ER,Africa,Sub-Saharan Africa
EE,Europe,Northern Europe
SZ,Africa,Sub-Saharan Africa
ET,Africa,Sub-Saharan Africa
FK,Americas,Latin America and the Caribbean
FO,Europe,Northern Europe
FJ,Oceania,Melanesia
FI,Europe,Northern Europe
FR,Europe,Western Europe
GF,Americas,Latin America and the Caribbean
PF,Oceania,Polynesia
TF,Africa,Sub-Saharan Africa
GA,Africa,Sub-Saharan Africa
GM,Africa,Sub-Saharan Africa
GE,Asia,Western Asia
DE,Europe,Western Europe
GH,Africa,Sub-Saharan Africa
GI,Europe,Southern Europe
GR,Europe,Southern Europe
GL,Americas,Northern America
GD,Americas,Latin America and the Caribbean
GP,Americas,Latin America and the Caribbean
GU,Oceania,Micronesia
GT,Americas,Latin America and the Caribbean
GG,Europe,Northern Europe
GN,Africa,Sub-Saharan Africa
GW,Africa,Sub-Saharan Africa
GY,Americas,Latin America and the Caribbean
HT,Americas,Latin America and the Caribbean
HM,Oceania,Australia and New Zealand
VA,Europe,Southern Europe
HN,Americas,Latin America and the Caribbean
HK,Asia,Eastern Asia
HU,Europe,Eastern Europe
IS,Europe,Northern Europe
IN,Asia,Southern Asia
ID,Asia,South-eastern Asia
IR,Asia,Southern Asia
IQ,Asia,Western Asia
IE,Europe,Northern Europe
IM,Europe,Northern Europe
IL,Asia,Western Asia
IT,Europe,Southern Europe
JM,Americas,Latin America and the Caribbean
JP,Asia,Eastern Asia
JE,Europe,Northern Europe
JO,Asia,Western Asia
KZ,Asia,Central Asia
KE,Africa,Sub-Saharan Africa
KI,Oceania,Micronesia
KP,Asia,Eastern Asia
KR,Asia,Eastern Asia
KW,Asia,Western Asia
KG,Asia,Central Asia
LA,Asia,South-eastern Asia
LV,Europe,Northern Europe
LB,Asia,Western Asia
LS,Africa,Sub-Saharan Africa
LR,Africa,Sub-Saharan Africa
LY,Africa,Northern Africa
LI,Europe,Western Europe
LT,Europe,Northern Europe
LU,Europe,Western Europe
MO,Asia,Eastern Asia
MG,Africa,Sub-Saharan Africa
MW,Africa,Sub-Saharan Africa
MY,Asia,South-eastern Asia
MV,Asia,Southern Asia
ML,Africa,Sub-Saharan Africa
MT,Europe,Southern Europe
MH,Oceania,Micronesia
MQ,Americas,Latin America and the Caribbean
MR,Africa,Sub-Saharan Africa
MU,Africa,Sub-Saharan Africa
YT,Africa,Sub-Saharan Africa
MX,Americas,Latin America and the Caribbean
FM,Oceania,Micronesia
MD,Europe,Eastern Europe
MC,Europe,Western Europe
MN,Asia,Eastern Asia
ME,Europe,Southern Europe
MS,Americas,Latin America and the Caribbean
MA,Africa,Northern Africa
MZ,Africa,Sub-Saharan Africa
MM,Asia,South-eastern Asia
,Africa,Sub-Saharan Africa
NR,Oceania,Micronesia
NP,Asia,Southern Asia
NL,Europe,Western Europe
NC,Oceania,Melanesia
NZ,Oceania,Australia and New Zealand
NI,Americas,Latin America and the Caribbean
NE,Africa,Sub-Saharan Africa
NG,Africa,Sub-Saharan Africa
NU,Oceania,Polynesia
NF,Oceania,Australia and New Zealand
MK,Europe,Southern Europe
MP,Oceania,Micronesia
