,username,followers,following,work_raw,education_raw
0,@lewellenmichael,1,2,"Software Dev, Startup Founder, Finance, Crypto, Product Manager, Education, Data, Ecommerce","High School, Bachelor's Degree"
1,@waylandchin,0,2,,
2,@karan,2,1,,
3,@skaboss217,0,1,,
4,@apwn,17,426,Web Dev,
5,@samcalma,3,3,,
6,@paulbremer,4,9,,
7,@jtompl,2,3,"Web Dev, Software Dev, Startup Founder, Product Manager, Education, Politics, Creative, SaaS","High School, Bachelor's Degree, Master's Degree"
8,@jezfx,17,23,,
9,@markcaggiano,2,2,,
10,@ndbroadbent,11,17,"Software Dev, Startup Founder",
11,@tedavery,11,6,,
12,@walkertraylor,5,9,,
13,@khassett,8,7,,
14,@jaszczakw,0,1,"Web Dev, Software Dev",Master's Degree
15,@anigupta,9,6,"Web Dev, Software Dev, Startup Founder, Product Manager","High School, Bachelor's Degree"
16,@adventureinmyveins,3,3,"Web Dev, Startup Founder","High School, Bachelor's Degree"
17,@ayoungh,5,34,Startup Founder,
18,@travelingpm,25,23,"Startup Founder, Finance, Product Manager, Ecommerce",
19,@fillipecordeiro,1,4,"Web Dev, Software Dev, Mobile Dev, Startup Founder, Education, Blogging, Marketing",Bachelor's Degree
20,@cartogram,1,4,,
21,@gnefkow,1,4,,
22,@edu_sunandco,61,120,,
23,@voising,2,2,"Web Dev, Software Dev",Master's Degree
24,@brianavecchione,11,10,Data,
25,@eugn23,0,2,Startup Founder,
26,@cognitr0n,1,2,,
27,@kylebenson,2,5,,
28,@marcusmeurer,93,10,Startup Founder,
29,@heliocordeiro,3,4,,
30,@___sarto,2,2,,
31,@rolf10,6,1,Startup Founder,
32,@dotnet,9,16,"Web Dev, Software Dev, Startup Founder",
33,@oneawaytravel,14,14,,
34,@eot_fly,27,33,,
35,@weberec7,0,1,,
36,@poppyjikko,9,14,,
37,@austinmao,0,2,"Startup Founder, Marketing",
38,@laudowicz,4,25,,
39,@dianabaz,5,15,"UI/UX Design, Creative",Bachelor's Degree
40,@geonomad,5,2,,
41,@keegansard,8,7,"Startup Founder, Crypto, Education, Politics, Sales",Bachelor's Degree
42,@theyough,6,5,,
43,@guar47,5,11,Software Dev,
44,@rimu,4,2,,
45,@zot24,12,9,,
46,@anistartup,6,6,Marketing,
47,@jacobjay,10,11,"Web Dev, Software Dev, UI/UX Design, Startup Founder, Creative, Community, Ecommerce, Geo, Architecture, Hospitality",
48,@creative_nomad_,4,7,,
49,@chrismauerer,1,2,,
50,@stevenzhang,5,7,Software Dev,
51,@patricktdang,1,3,,
52,@cristal_dyer,3,4,"Journalism, Blogging",
53,@0chucha0,1,2,,
54,@nzieber,20,24,"Startup Founder, Community",
55,@bryanseversky,0,2,,
56,@maxicareercoach,10,13,Coach,
57,@aaleksandar,7,5,"Web Dev, Startup Founder, Product Manager, Journalism, Data, Community, Architecture",Master's Degree
58,@avermat,2,1,,
59,@jrdnbshp,24,23,Startup Founder,
60,@srendi,0,1,,
61,@jebeor,6,6,,
62,@asherhunt,20,14,,
63,@gert_schreuder,3,18,,
64,@iamjamesrodgers,8,6,,
65,@djoneverett,2,2,Startup Founder,
66,@baldtel,2,6,Education,
67,@stevelacey,48,32,"Web Dev, Software Dev, UI/UX Design, Startup Founder, Crypto, Data, SaaS, Geo",Bachelor's Degree
68,@spextr,9,16,,
69,@bassochette,1,1,,
70,@shipra,9,9,,
71,@neftenezavisimo,3,2,,
72,@zazk,2,2,UI/UX Design,
73,@federerchris,1,2,,
74,@kmander,7,5,,
75,@y,3,6,,
76,@timvermeulen639,2,5,Startup Founder,
77,@snowgraphs,0,14,,
78,@william23,2,6,,
79,@dgdev,5,4,"Software Dev, Finance, Product Manager, Education, Politics, Blogging, Data, Fitness, Community, Sales, SaaS, Sports",
80,@woahitsraj,3,7,"Web Dev, Software Dev",
